x,y,z,scale,macro_x,macro_y,micro_x,micro_y,parcel_id
19.6499,-1.7227,0.272,0.1245,14,2,1,2,59
20.1489,-1.7482,0.232,0.125,14,2,2,2,59
20.6366,-1.7678,0.195,0.1315,14,2,3,2,59
-5.2635,-1.3534,0.476,0.1107,0,2,0,3,52
-4.8188,-1.3506,0.521,0.1261,0,2,1,3,52
-4.3834,-1.3427,0.567,0.1477,0,2,2,3,52
-3.9596,-1.3286,0.613,0.1339,0,2,3,3,52
-3.5465,-1.3087,0.66,0.1429,1,2,0,3,52
-3.1413,-1.2844,0.707,0.0865,1,2,1,3,52
-2.7397,-1.2583,0.755,0.0886,1,2,2,3,52
-1.5101,-1.1931,0.906,0.1373,2,2,1,3,50
-1.0804,-1.1822,0.959,0.1403,2,2,2,3,50
-0.6398,-1.1771,1.012,0.1317,2,2,3,3,50
-0.1907,-1.1742,1.066,0.1021,3,2,0,3,50
0.2701,-1.1636,1.12,0.144,3,2,1,3,50
1.7505,-1.0553,1.294,0.1042,4,2,0,3,21
3.2928,-0.9199,1.449,0.0794,4,2,3,3,28
3.7974,-0.8795,1.49,0.0998,5,2,0,3,28
4.2886,-0.845,1.525,0.1458,5,2,1,3,28
4.7636,-0.8176,1.552,0.1183,5,2,2,3,28
5.2221,-0.7975,1.572,0.0971,5,2,3,3,28
6.5339,-0.7516,1.597,0.1272,6,2,2,3,45
6.9506,-0.7076,1.599,0.107,6,2,3,3,45
7.3519,-0.6345,1.602,0.0937,7,2,0,3,45
7.7385,-0.5343,1.605,0.1001,7,2,1,3,45
8.1143,-0.4149,1.606,0.1135,7,2,2,3,45
9.2357,-0.0629,1.585,0.1306,8,2,1,3,54
9.6281,0.0126,1.562,0.1449,8,2,2,3,54
10.037,0.055,1.529,0.0866,8,2,3,3,54
10.4625,0.0658,1.486,0.14,9,2,0,3,54
10.9,0.0551,1.436,0.131,9,2,1,3,54
12.1825,-0.0981,1.258,0.1377,10,2,0,3,53
12.5781,-0.2129,1.194,0.1076,10,2,1,3,53
12.9596,-0.3567,1.128,0.1304,10,2,2,3,53
13.3333,-0.5189,1.062,0.1414,10,2,3,3,53
13.708,-0.6861,0.997,0.102,11,2,0,3,53
