x,y,height,slope,buildable,distance_to_road,accessibility,center_score,noise_value,density_potential,green_potential,open_space_potential,state,density,type,is_tower
5,3,0.75,0.078,True,2.915,0.617,0.307,0.337,0.454,0.45,0.531,1,low,residential_low,False
6,3,0.815,0.065,True,2.121,0.666,0.337,0.536,0.535,0.514,0.666,1,low,residential_low,False
7,3,0.866,0.056,True,1.581,0.701,0.364,0.486,0.546,0.483,0.639,1,low,residential_low,False
8,3,0.9,0.066,True,1.581,0.71,0.389,0.51,0.564,0.489,0.657,1,low,residential_low,False
9,3,0.918,0.075,True,2.121,0.692,0.411,0.567,0.576,0.518,0.695,1,low,residential_low,False
10,3,0.918,0.084,True,2.915,0.66,0.429,0.497,0.55,0.5,0.649,1,low,residential_low,False
11,3,0.903,0.091,True,3.808,0.622,0.444,0.512,0.541,0.518,0.657,1,low,residential_low,False
12,3,0.874,0.097,True,4.743,0.581,0.455,0.525,0.529,0.537,0.663,1,low,residential_low,False
13,3,0.834,0.1,True,5.701,0.537,0.461,0.52,0.51,0.549,0.657,1,low,residential_low,False
14,3,0.784,0.103,True,6.671,0.491,0.464,0.506,0.487,0.558,0.645,1,low,residential_low,False
15,3,0.729,0.102,True,7.649,0.443,0.461,0.65,0.5,0.631,0.733,1,low,residential_low,False
16,3,0.671,0.101,True,8.623,0.394,0.455,0.743,0.499,0.684,0.788,0,none,forest,False
17,3,0.615,0.097,True,7.937,0.423,0.444,0.751,0.511,0.678,0.794,1,low,residential_low,False
18,3,0.564,0.09,True,7.25,0.451,0.429,0.75,0.519,0.668,0.794,1,low,residential_low,False
19,3,0.519,0.083,True,6.563,0.478,0.411,0.766,0.53,0.666,0.805,1,low,residential_low,False
20,3,0.483,0.075,True,5.877,0.503,0.389,0.734,0.527,0.645,0.784,1,low,residential_low,False
21,3,0.458,0.066,True,5.19,0.528,0.364,0.397,0.446,0.502,0.568,1,low,residential_low,False
22,3,0.443,0.056,True,4.503,0.551,0.337,0.359,0.439,0.48,0.543,1,low,residential_low,False
23,3,0.439,0.047,True,3.817,0.574,0.307,0.384,0.446,0.482,0.558,1,low,residential_low,False
24,3,0.443,0.038,True,3.13,0.596,0.275,0.543,0.486,0.539,0.659,1,low,residential_low,False
25,3,0.453,0.029,True,2.444,0.617,0.241,0.577,0.494,0.546,0.679,1,low,residential_low,False
26,3,0.467,0.02,True,1.757,0.638,0.206,0.574,0.492,0.538,0.675,1,low,residential_low,False
27,3,0.483,0.016,True,1.118,0.656,0.17,0.732,0.529,0.625,0.78,1,low,residential_low,False
28,3,0.496,0.013,True,1.118,0.642,0.132,0.754,0.517,0.667,0.795,1,low,residential_low,False
29,3,0.503,0.007,True,1.803,0.596,0.093,0.73,0.479,0.701,0.778,0,none,forest,False
0,4,0.293,0.102,True,7.517,0.344,0.161,0.499,0.328,0.69,0.617,0,none,forest,False
1,4,0.395,0.104,True,6.519,0.406,0.2,0.49,0.365,0.637,0.614,0,none,forest,False
2,4,0.499,0.104,True,5.523,0.467,0.238,0.458,0.396,0.575,0.596,1,low,residential_low,False
3,4,0.601,0.102,True,4.528,0.528,0.275,0.407,0.422,0.506,0.566,1,low,residential_low,False
4,4,0.698,0.097,True,3.536,0.588,0.31,0.393,0.456,0.452,0.559,1,low,residential_low,False
