x,y,height,slope,buildable,distance_to_road,accessibility,state,density,type,is_tower
0,6,0.272,0.116,True,7.634,0.357,0,none,forest,False
1,6,0.388,0.12,True,6.643,0.42,0,none,forest,False
2,6,0.508,0.12,True,5.652,0.482,1,low,residential_low,False
3,6,0.628,0.12,True,4.661,0.543,1,low,residential_low,False
4,6,0.744,0.116,True,3.671,0.605,1,low,residential_low,False
5,6,0.852,0.108,True,2.68,0.665,1,low,residential_low,False
6,6,0.949,0.097,True,1.689,0.726,1,low,residential_low,False
7,6,1.032,0.083,True,0.698,0.785,1,low,residential_low,False
8,6,1.098,0.066,True,0.293,0.815,1,low,residential_low,False
9,6,1.145,0.076,True,1.284,0.777,2,medium,residential_medium,False
10,6,1.173,0.086,True,2.274,0.738,2,medium,residential_medium,False
11,6,1.182,0.095,True,3.265,0.697,2,medium,residential_medium,False
12,6,1.171,0.101,True,4.256,0.654,1,low,residential_low,False
13,6,1.143,0.105,True,5.247,0.61,2,medium,residential_medium,False
14,6,1.1,0.108,True,6.238,0.563,2,medium,residential_medium,False
15,6,1.045,0.108,True,7.129,0.519,2,medium,residential_medium,False
16,6,0.981,0.105,True,6.442,0.549,2,medium,residential_medium,False
17,6,0.912,0.101,True,5.756,0.577,2,medium,residential_medium,False
18,6,0.842,0.095,True,5.069,0.603,2,medium,residential_medium,False
19,6,0.774,0.086,True,4.382,0.628,2,medium,residential_medium,False
20,6,0.711,0.077,True,3.696,0.651,1,low,residential_low,False
21,6,0.656,0.066,True,3.009,0.674,1,low,residential_low,False
22,6,0.609,0.055,True,2.322,0.695,1,low,residential_low,False
23,6,0.573,0.044,True,1.636,0.716,1,low,residential_low,False
24,6,0.545,0.033,True,0.949,0.736,1,low,residential_low,False
25,6,0.525,0.022,True,0.263,0.755,1,low,residential_low,False
26,6,0.511,0.014,True,0.424,0.733,1,low,residential_low,False
27,6,0.5,0.011,True,1.111,0.686,1,low,residential_low,False
28,6,0.49,0.012,True,1.797,0.638,1,low,residential_low,False
29,6,0.478,0.014,True,2.484,0.59,1,low,residential_low,False
0,7,0.258,0.123,True,7.769,0.359,0,none,forest,False
1,7,0.381,0.128,True,6.778,0.422,0,none,forest,False
2,7,0.509,0.129,True,5.787,0.484,1,low,residential_low,False
3,7,0.638,0.129,True,4.797,0.547,1,low,residential_low,False
4,7,0.764,0.126,True,3.806,0.608,1,low,residential_low,False
5,7,0.883,0.119,True,2.815,0.67,1,low,residential_low,False
6,7,0.992,0.109,True,1.824,0.731,1,low,residential_low,False
7,7,1.086,0.094,True,0.833,0.791,1,low,residential_low,False
8,7,1.163,0.077,True,0.158,0.835,2,medium,residential_medium,False
9,7,1.221,0.076,True,1.148,0.798,2,medium,residential_medium,False
10,7,1.259,0.086,True,2.139,0.759,2,medium,residential_medium,False
11,7,1.276,0.094,True,3.13,0.719,2,medium,residential_medium,False
12,7,1.271,0.1,True,4.121,0.677,2,medium,residential_medium,False
13,7,1.248,0.105,True,5.112,0.633,2,medium,residential_medium,False
14,7,1.207,0.107,True,6.103,0.587,2,medium,residential_medium,False
15,7,1.152,0.107,True,6.402,0.571,2,medium,residential_medium,False
16,7,1.086,0.105,True,5.715,0.601,2,medium,residential_medium,False
17,7,1.012,0.1,True,5.029,0.628,2,medium,residential_medium,False
18,7,0.936,0.094,True,4.342,0.653,2,medium,residential_medium,False
19,7,0.859,0.085,True,3.655,0.677,2,medium,residential_medium,False
20,7,0.787,0.076,True,2.969,0.7,2,medium,residential_medium,False
21,7,0.721,0.066,True,2.282,0.721,1,low,residential_low,False
22,7,0.663,0.058,True,1.595,0.742,1,low,residential_low,False
23,7,0.615,0.048,True,0.909,0.762,1,low,residential_low,False
24,7,0.576,0.039,True,0.222,0.781,1,low,residential_low,False
25,7,0.546,0.03,True,0.464,0.755,1,low,residential_low,False
26,7,0.522,0.024,True,1.151,0.707,1,low,residential_low,False
27,7,0.502,0.02,True,1.838,0.66,1,low,residential_low,False
28,7,0.483,0.019,True,2.524,0.611,1,low,residential_low,False
29,7,0.464,0.019,True,3.211,0.563,1,low,residential_low,False
0,8,0.243,0.13,True,7.904,0.359,0,none,forest,False
1,8,0.373,0.136,True,6.913,0.423,0,none,forest,False
2,8,0.509,0.139,True,5.922,0.486,1,low,residential_low,False
3,8,0.648,0.139,True,4.932,0.549,1,low,residential_low,False
4,8,0.784,0.136,True,3.941,0.611,1,low,residential_low,False
5,8,0.913,0.129,True,2.95,0.673,1,low,residential_low,False
6,8,1.033,0.12,True,1.959,0.735,1,low,residential_low,False
7,8,1.138,0.105,True,0.968,0.796,2,medium,residential_medium,False
8,8,1.226,0.088,True,0.023,0.854,2,medium,residential_medium,False
9,8,1.295,0.074,True,1.013,0.818,2,medium,residential_medium,False
10,8,1.342,0.083,True,2.004,0.78,2,medium,residential_medium,False
11,8,1.367,0.091,True,2.995,0.741,2,medium,residential_medium,False
12,8,1.369,0.098,True,3.986,0.7,2,medium,residential_medium,False
13,8,1.35,0.102,True,4.977,0.657,2,medium,residential_medium,False
14,8,1.312,0.105,True,5.967,0.61,2,medium,residential_medium,False
15,8,1.257,0.105,True,5.651,0.624,2,medium,residential_medium,False
16,8,1.188,0.102,True,4.988,0.652,2,medium,residential_medium,False
17,8,1.11,0.098,True,4.301,0.678,2,medium,residential_medium,False
18,8,1.027,0.091,True,3.615,0.703,2,medium,residential_medium,False
19,8,0.943,0.084,True,2.928,0.726,2,medium,residential_medium,False
20,8,0.861,0.082,True,2.242,0.747,2,medium,residential_medium,False
21,8,0.784,0.077,True,1.555,0.768,2,medium,residential_medium,False
22,8,0.716,0.068,True,0.868,0.788,2,medium,residential_medium,False
23,8,0.656,0.06,True,0.182,0.807,1,low,residential_low,False
24,8,0.606,0.05,True,0.505,0.777,1,low,residential_low,False
25,8,0.565,0.041,True,1.191,0.729,1,low,residential_low,False
26,8,0.531,0.034,True,1.878,0.681,1,low,residential_low,False
27,8,0.502,0.029,True,2.565,0.632,1,low,residential_low,False
28,8,0.476,0.027,True,3.251,0.583,1,low,residential_low,False
29,8,0.449,0.027,True,3.938,0.535,1,low,residential_low,False
0,9,0.229,0.136,True,8.039,0.359,0,none,forest,False
1,9,0.365,0.144,True,7.048,0.423,0,none,forest,False
2,9,0.509,0.147,True,6.058,0.486,1,low,residential_low,False
3,9,0.656,0.147,True,5.067,0.55,1,low,residential_low,False
4,9,0.801,0.145,True,4.076,0.613,1,low,residential_low,False
5,9,0.941,0.14,True,3.085,0.676,1,low,residential_low,False
6,9,1.071,0.13,True,2.094,0.738,2,medium,residential_medium,False
7,9,1.187,0.116,True,1.103,0.8,2,medium,residential_medium,False
8,9,1.286,0.099,True,0.113,0.861,2,medium,residential_medium,False
9,9,1.364,0.078,True,0.878,0.837,2,medium,residential_medium,False
10,9,1.42,0.078,True,1.869,0.801,2,medium,residential_medium,False
11,9,1.453,0.086,True,2.86,0.763,2,medium,residential_medium,False
12,9,1.461,0.092,True,3.851,0.723,2,medium,residential_medium,False
13,9,1.447,0.097,True,4.842,0.68,2,medium,residential_medium,False
14,9,1.41,0.098,True,5.291,0.66,2,medium,residential_medium,False
15,9,1.355,0.098,True,4.787,0.682,2,medium,residential_medium,False
16,9,1.285,0.097,True,4.261,0.703,2,medium,residential_medium,False
17,9,1.202,0.092,True,3.574,0.728,2,medium,residential_medium,False
18,9,1.113,0.092,True,2.888,0.752,2,medium,residential_medium,False
19,9,1.021,0.092,True,2.201,0.773,2,medium,residential_medium,False
20,9,0.93,0.091,True,1.515,0.794,2,medium,residential_medium,False
21,9,0.844,0.086,True,0.828,0.813,2,medium,residential_medium,False
22,9,0.765,0.079,True,0.141,0.832,2,medium,residential_medium,False
23,9,0.695,0.07,True,0.545,0.798,2,medium,residential_medium,False
24,9,0.634,0.061,True,1.232,0.75,1,low,residential_low,False
25,9,0.583,0.051,True,1.919,0.701,1,low,residential_low,False
26,9,0.539,0.044,True,2.605,0.653,1,low,residential_low,False
27,9,0.502,0.037,True,3.292,0.604,1,low,residential_low,False
28,9,0.468,0.034,True,3.978,0.555,1,low,residential_low,False
29,9,0.434,0.034,True,4.665,0.506,1,low,residential_low,False
0,10,0.215,0.143,True,8.174,0.358,0,none,forest,False
1,10,0.358,0.151,True,7.184,0.422,0,none,forest,False
2,10,0.509,0.155,True,6.193,0.486,1,low,residential_low,False
3,10,0.664,0.155,True,5.202,0.55,1,low,residential_low,False
4,10,0.817,0.153,True,4.211,0.613,1,low,residential_low,False
5,10,0.966,0.149,True,3.22,0.677,2,medium,residential_medium,False
